Term,Description,Classes,References
 decision forest ,"A model created from multiple decision trees.
A decision forest makes a prediction by aggregating the predictions of
its decision trees. Popular types of decision forests include
random forests and gradient boosted trees. See the Decision
Forests
section in the Decision Forests course for more information.",Decision Forests,"decision trees, random forests, gradient boosted trees, Decision
Forests"
 decision threshold,Synonym for classification threshold.,None,classification threshold
 decision tree,"A supervised learning model composed of a set of
conditions and leaves organized hierarchically.
For example, the following is a decision tree:",Decision Forests,"conditions, leaves"
 decoder,"In general, any ML system that converts from a processed, dense, or
internal representation to a more raw, sparse, or external representation. Decoders are often a component of a larger model, where they are frequently
paired with an encoder. In sequence-to-sequence tasks, a decoder
starts with the internal state generated by the encoder to predict the next
sequence. Refer to Transformer for the definition of a decoder within
the Transformer architecture. See Large language models
in Machine Learning Crash Course for more information.",Language Evaluation,"encoder, sequence-to-sequence tasks, Transformer, Large language models"
 deep model,"A neural network containing more than one
hidden layer. A deep model is also called a deep neural network. Contrast with wide model.",ML Fundamentals,"neural network, hidden layer, wide model"
 deep neural network,Synonym for deep model.,None,deep model
 Deep Q-Network (DQN),"In Q-learning, a deep neural network
that predicts Q-functions. Critic is a synonym for Deep Q-Network.",Reinforcement Learning,"Q-learning, neural network, Q-functions"
 demographic parity,"A fairness metric that is satisfied if
the results of a model's classification are not dependent on a
given sensitive attribute. For example, if both Lilliputians and Brobdingnagians apply to
Glubbdubdrib University, demographic parity is achieved if the percentage
of Lilliputians admitted is the same as the percentage of Brobdingnagians
admitted, irrespective of whether one group is on average more qualified
than the other. Contrast with equalized odds and
equality of opportunity, which permit
classification results in aggregate to depend on sensitive attributes,
but don't permit classification results for certain specified
ground truth labels to depend on sensitive attributes. See
""Attacking
discrimination with smarter machine learning"" for a visualization
exploring the tradeoffs when optimizing for demographic parity. See Fairness: demographic
parity
in Machine Learning Crash Course for more information.",Fairness,"fairness metric, sensitive attribute, equalized odds, equality of opportunity, ground truth, ""Attacking
discrimination with smarter machine learning"", Fairness: demographic
parity"
 denoising,"A common approach to self-supervised learning
in which: Denoising enables learning from unlabeled examples.
The original dataset serves as the target or
label and
the noisy data as the input. Some masked language models use denoising
as follows:",Language Evaluation,"self-supervised learning, unlabeled examples, dataset, label, masked language models"
 dense feature,"A feature in which most or all values are nonzero, typically
a Tensor of floating-point values. For example, the following
10-element Tensor is dense because 9 of its values are nonzero: Contrast with sparse feature.",ML Fundamentals,"feature, Tensor, sparse feature"
 dense layer,Synonym for fully connected layer.,None,fully connected layer
 depth,"The sum of the following in a neural network: the number of hidden layers the number of output layers, which is typically 1 the number of any embedding layers For example, a neural network with five hidden layers and one output layer
has a depth of 6. Notice that the input layer doesn't
influence depth.",ML Fundamentals,"neural network, hidden layers, output layers, embedding layers, input layer"
depthwise separable convolutional neural network (sepCNN),"A convolutional neural network
architecture based on
Inception,
but where Inception modules are replaced with depthwise separable
convolutions. Also known as Xception. A depthwise separable convolution (also abbreviated as separable convolution)
factors a standard 3D convolution into two separate convolution operations
that are more computationally efficient: first, a depthwise convolution,
with a depth of 1 (n ✕ n ✕ 1), and then second, a pointwise convolution,
with length and width of 1 (1 ✕ 1 ✕ n). To learn more, see Xception: Deep Learning with Depthwise Separable
Convolutions.",Image Models,"convolutional neural network, Inception, Xception: Deep Learning with Depthwise Separable
Convolutions"
 derived label,Synonym for proxy label.,None,proxy label
 device,An overloaded term with the following two possible definitions:,TensorFlow,None
 differential privacy,"In machine learning, an anonymization approach to protect any sensitive data
(for example, an individual's personal information) included in a model's
training set from being exposed. This approach ensures
that the model doesn't learn or remember much about a specific
individual. This is accomplished by sampling and adding noise during model
training to obscure individual data points, mitigating the risk of exposing
sensitive training data. Differential privacy is also used outside of machine learning. For example,
data scientists sometimes use differential privacy to protect individual
privacy when computing product usage statistics for different demographics.",None,"training set, model"
 dimension reduction,"Decreasing the number of dimensions used to represent a particular feature
in a feature vector, typically by
converting to an embedding vector.",None,embedding vector
 dimensions ,"Overloaded term having any of the following definitions: The number of levels of coordinates in a Tensor. For
example:

A scalar has zero dimensions; for example, [""Hello""].
A vector has one dimension; for example, [3, 5, 7, 11].
A matrix has two dimensions; for example, [[2, 4, 18], [5, 7, 14]].
You can uniquely specify a particular cell in a one-dimensional vector
with one coordinate; you need two coordinates to uniquely specify a
particular cell in a two-dimensional matrix. A scalar has zero dimensions; for example, [""Hello""]. A vector has one dimension; for example, [3, 5, 7, 11]. A matrix has two dimensions; for example, [[2, 4, 18], [5, 7, 14]].
You can uniquely specify a particular cell in a one-dimensional vector
with one coordinate; you need two coordinates to uniquely specify a
particular cell in a two-dimensional matrix. The number of entries in a feature vector. The number of elements in an embedding layer.",None,"Tensor, feature vector, embedding layer"
 direct prompting ,Synonym for zero-shot prompting.,Language Evaluation,zero-shot prompting
 discrete feature,"A feature with a finite set of possible values. For example,
a feature whose values may only be animal, vegetable, or mineral is a
discrete (or categorical) feature. Contrast with continuous feature.",ML Fundamentals,"feature, continuous feature"
 discriminative model,"A model that predicts labels from a set of one or
more features. More formally, discriminative models define the
conditional probability of an output given the features and
weights; that is: For example, a model that predicts whether an email is spam from features
and weights is a discriminative model. The vast majority of supervised learning models, including classification
and regression models, are discriminative models. Contrast with generative model.",None,"model, labels, features, weights, generative model"
 discriminator,"A system that determines whether examples are real or fake. Alternatively, the subsystem within a generative adversarial
network that determines whether
the examples created by the generator are real or fake. See The discriminator
in the GAN course for more information.",None,"examples, generative adversarial
network, generator, The discriminator"
 disparate impact,"Making decisions about people that impact different population
subgroups disproportionately. This usually refers to situations
where an algorithmic decision-making process harms or benefits
some subgroups more than others. For example, suppose an algorithm that determines a Lilliputian's
eligibility for a miniature-home loan is more likely to classify
them as ""ineligible"" if their mailing address contains a certain
postal code. If Big-Endian Lilliputians are more likely to have
mailing addresses with this postal code than Little-Endian Lilliputians,
then this algorithm may result in disparate impact. Contrast with disparate treatment,
which focuses on disparities that result when subgroup characteristics
are explicit inputs to an algorithmic decision-making process.",Fairness,disparate treatment
 disparate treatment,"Factoring subjects' sensitive attributes
into an algorithmic decision-making process such that different subgroups
of people are treated differently. For example, consider an algorithm that
determines Lilliputians' eligibility for a miniature-home loan based on the
data they provide in their loan application. If the algorithm uses a
Lilliputian's affiliation as Big-Endian or Little-Endian as an input, it
is enacting disparate treatment along that dimension. Contrast with disparate impact, which focuses
on disparities in the societal impacts of algorithmic decisions on subgroups,
irrespective of whether those subgroups are inputs to the model.",Fairness,"sensitive attributes, disparate impact"
 distillation,"The process of reducing the size of one model (known as the
teacher) into a smaller model (known as the student) that emulates
the original model's predictions as faithfully as possible. Distillation
is useful because the smaller model has two key benefits over the larger
model (the teacher): Faster inference time Reduced memory and energy usage However, the student's predictions are typically not as good as
the teacher's predictions. Distillation trains the student model to minimize a
loss function based on the difference between the outputs
of the predictions of the student and teacher models. Compare and contrast distillation with the following terms: fine-tuning prompt-based learning See LLMs: Fine-tuning, distillation, and prompt
engineering
in Machine Learning Crash Course for more information.",Generative AI,"model, loss function, fine-tuning, prompt-based learning, LLMs: Fine-tuning, distillation, and prompt
engineering"
 distribution,"The frequency and range of different values for a given
feature or label.
A distribution captures how likely a particular value is. The following image shows histograms of two different distributions: On the left, a power law distribution of wealth versus the number of people
possessing that wealth. On the right, a normal distribution of height versus the number of people
possessing that height. Understanding each feature and label's distribution can help you determine how
to normalize values and detect outliers. The phrase out of distribution refers to a value that doesn't appear in the
dataset or is very rare. For example, an image of the planet Saturn would be
considered out of distribution for a dataset consisting of cat images.",None,"feature, label, normalize, outliers"
 divisive clustering,See hierarchical clustering.,Clustering,hierarchical clustering
 downsampling,"Overloaded term that can mean either of the following: Reducing the amount of information in a feature in
order to train a model more efficiently. For example,
before training an image recognition model, downsampling high-resolution
images to a lower-resolution format. Training on a disproportionately low percentage of over-represented
class
examples in order to improve model training on under-represented classes.
For example, in a class-imbalanced
dataset, models tend to learn a lot about the
majority class and not enough about the
minority class. Downsampling helps
balance the amount of training on the majority and minority classes. See Datasets: Imbalanced
datasets
in Machine Learning Crash Course for more information.",Image Models,"feature, train, class, class-imbalanced
dataset, majority class, minority class, Datasets: Imbalanced
datasets"
 DQN,Abbreviation for Deep Q-Network.,Reinforcement Learning,Deep Q-Network
 dropout regularization,"A form of regularization useful in training
neural networks. Dropout regularization
removes a random selection of a fixed number of the units in a network
layer for a single gradient step. The more units dropped out, the stronger
the regularization. This is analogous to training the network to emulate
an exponentially large ensemble of smaller networks.
For full details, see
Dropout: A Simple Way to Prevent Neural Networks from
Overfitting.",None,"regularization, neural networks, ensemble, Dropout: A Simple Way to Prevent Neural Networks from
Overfitting"
 dynamic,"Something done frequently or continuously.
The terms dynamic and online are synonyms in machine learning.
The following are common uses of dynamic and online in machine
learning: A dynamic model (or online model) is a model
that is retrained frequently or continuously. Dynamic training (or online training) is the process of training
frequently or continuously. Dynamic inference (or online inference) is the process of
generating predictions on demand.",ML Fundamentals,dynamic model
 dynamic model,"A model that is frequently (maybe even continuously)
retrained. A dynamic model is a ""lifelong learner"" that
constantly adapts to evolving data. A dynamic model is also known as an
online model. Contrast with static model.",ML Fundamentals,"model, static model"
 eager execution,"A TensorFlow programming environment in which operations
run immediately. In contrast, operations called in
graph execution don't run until they are explicitly
evaluated. Eager execution is an
imperative interface, much
like the code in most programming languages. Eager execution programs are
generally far easier to debug than graph execution programs.",TensorFlow,"operations, graph execution, imperative interface"
 early stopping,"A method for regularization that involves ending
training before training loss finishes
decreasing. In early stopping, you intentionally stop training the model
when the loss on a validation dataset starts to
increase; that is, when
generalization performance worsens.",ML Fundamentals,"regularization, training, validation dataset, generalization"
 earth mover's distance (EMD),"A measure of the relative similarity of two distributions.
The lower the earth mover's distance, the more similar the distributions.",None,distributions
 edit distance,"A measurement of how similar two text strings are to each other.
In machine learning, edit distance is useful because it is simple to
compute, and an effective way to compare two strings that are known to be
similar or to find strings that are similar to a given string. There are several definitions of edit distance, each using different string
operations. For example, the

Levenshtein distance
considers the fewest delete, insert, and substitute operations. For example, the Levenshtein distance between the words ""heart"" and ""darts""
is 3 because the following 3 edits are the fewest changes to turn one word
into the other:",Language Evaluation,Levenshtein distance
 Einsum notation,"An efficient notation for describing how two tensors are to be
combined. The tensors are combined by multiplying the elements of one tensor
by the elements of the other tensor and then summing the products.
Einsum notation uses symbols to identify the axes of each tensor, and those
same symbols are rearranged to specify the shape of the new resulting tensor. NumPy provides a common Einsum implementation.",None,"tensors, NumPy"
 embedding layer,"A special hidden layer that trains on a
high-dimensional categorical feature to
gradually learn a lower dimension embedding vector. An
embedding layer enables a neural network to train far more
efficiently than training just on the high-dimensional categorical feature. For example, Earth currently supports about 73,000 tree species. Suppose
tree species is a feature in your model, so your model's
input layer includes a one-hot vector 73,000
elements long.
For example, perhaps baobab would be represented something like this: A 73,000-element array is very long. If you don't add an embedding layer
to the model, training is going to be very time consuming due to
multiplying 72,999 zeros. Perhaps you pick the embedding layer to consist
of 12 dimensions. Consequently, the embedding layer will gradually learn
a new embedding vector for each tree species. In certain situations, hashing is a reasonable alternative
to an embedding layer. See Embeddings
in Machine Learning Crash Course for more information.",Language Evaluation,"hidden layer, categorical, feature, one-hot vector, hashing, Embeddings"
 embedding space,"The d-dimensional vector space that features from a higher-dimensional
vector space are mapped to. Ideally, the embedding space contains a
structure that yields meaningful mathematical results; for example,
in an ideal embedding space, addition and subtraction of embeddings
can solve word analogy tasks. The dot product
of two embeddings is a measure of their similarity.",Language Evaluation,dot product
 embedding vector,"Broadly speaking, an array of floating-point numbers taken from any
hidden layer that describe the inputs to that hidden layer.
Often, an embedding vector is the array of floating-point numbers trained in
an embedding layer. For example, suppose an embedding layer must learn an
embedding vector for each of the 73,000 tree species on Earth. Perhaps the
following array is the embedding vector for a baobab tree: An embedding vector is not a bunch of random numbers. An embedding layer
determines these values through training, similar to the way a
neural network learns other weights during training. Each element of the
array is a rating along some characteristic of a tree species. Which
element represents which tree species' characteristic? That's very hard
for humans to determine. The mathematically remarkable part of an embedding vector is that similar
items have similar sets of floating-point numbers. For example, similar
tree species have a more similar set of floating-point numbers than
dissimilar tree species. Redwoods and sequoias are related tree species,
so they'll have a more similar set of floating-pointing numbers than
redwoods and coconut palms. The numbers in the embedding vector will
change each time you retrain the model, even if you retrain the model
with identical input.",Language Evaluation,hidden layer
 empirical cumulative distribution function (eCDF or EDF),"A cumulative distribution function
based on empirical measurements from a real dataset. The value of the
function at any point along the x-axis is the fraction of observations in
the dataset that are less than or equal to the specified value.",None,cumulative distribution function
 empirical risk minimization (ERM),"Choosing the function that minimizes loss on the training set. Contrast
with structural risk minimization.",None,structural risk minimization
 encoder,"In general, any ML system that converts from a raw, sparse, or external
representation into a more processed, denser, or more internal representation. Encoders are often a component of a larger model, where they are frequently
paired with a decoder. Some Transformers
pair encoders with decoders, though other Transformers use only the encoder
or only the decoder. Some systems use the encoder's output as the input to a classification or
regression network. In sequence-to-sequence tasks, an encoder
takes an input sequence and returns an internal state (a vector). Then, the
decoder uses that internal state to predict the next sequence. Refer to Transformer for the definition of an encoder in
the Transformer architecture. See LLMs: What's a large language
model
in Machine Learning Crash Course for more information.",Language Evaluation,"decoder, Transformers, sequence-to-sequence tasks, decoder, Transformer, LLMs: What's a large language
model"
 ensemble,"A collection of models trained independently whose predictions
are averaged or aggregated. In many cases, an ensemble produces better
predictions than a single model. For example, a
random forest is an ensemble built from multiple
decision trees. Note that not all
decision forests are ensembles. See Random
Forest
in Machine Learning Crash Course for more information.",None,"models, random forest, decision trees, decision forests, Random
Forest"
 entropy ,"In

information theory,
a description of how unpredictable a probability
distribution is. Alternatively, entropy is also defined as how much
information each example contains. A distribution has
the highest possible entropy when all values of a random variable are
equally likely. The entropy of a set with two possible values ""0"" and ""1"" (for example,
the labels in a binary classification problem)
has the following formula: H = -p log p - q log q = -p log p - (1-p) * log (1-p) where: H is the entropy. p is the fraction of ""1"" examples. q is the fraction of ""0"" examples. Note that q = (1 - p) log is generally log2. In this case, the entropy
unit is a bit. For example, suppose the following: 100 examples contain the value ""1"" 300 examples contain the value ""0"" Therefore, the entropy value is: p = 0.25 q = 0.75 H = (-0.25)log2(0.25) - (0.75)log2(0.75) =
      0.81 bits per example A set that is perfectly balanced (for example, 200 ""0""s and 200 ""1""s)
would have an entropy of 1.0 bit per example. As a set becomes more
imbalanced, its entropy moves towards 0.0. In decision trees, entropy helps formulate
information gain to help the
splitter select the conditions
during the growth of a classification decision tree. Compare entropy with: gini impurity cross-entropy loss function Entropy is often called Shannon's entropy. See Exact splitter for binary classification with numerical
features
in the Decision Forests course for more information.",Decision Forests,"information theory, example, binary classification, imbalanced, decision trees, information gain, splitter, conditions, gini impurity, cross-entropy, Exact splitter for binary classification with numerical
features"
 environment,"In reinforcement learning, the world that contains the agent
and allows the agent to observe that world's state. For example,
the represented world can be a game like chess, or a physical world like a
maze. When the agent applies an action to the environment,
then the environment transitions between states.",Reinforcement Learning,"agent, state, action"
 episode,"In reinforcement learning, each of the repeated attempts by the
agent to learn an environment.",Reinforcement Learning,"agent, environment"
 epoch,"A full training pass over the entire training set
such that each example has been processed once. An epoch represents N/batch size
training iterations, where N is the
total number of examples. For instance, suppose the following: The dataset consists of 1,000 examples. The batch size is 50 examples. Therefore, a single epoch requires 20 iterations: See Linear regression:
Hyperparameters
in Machine Learning Crash Course for more information.",ML Fundamentals,"training set, example, batch size, iterations, Linear regression:
Hyperparameters"
 epsilon greedy policy,"In reinforcement learning, a policy that either follows a
random policy with epsilon probability or a
greedy policy otherwise. For example, if epsilon is
0.9, then the policy follows a random policy 90% of the time and a greedy
policy 10% of the time. Over successive episodes, the algorithm reduces epsilon's value in order
to shift from following a random policy to following a greedy policy. By
shifting the policy, the agent first randomly explores the environment and
then greedily exploits the results of random exploration.",Reinforcement Learning,"policy, random policy, greedy policy"
 equality of opportunity ,"A fairness metric to assess whether a model is
predicting the desirable outcome equally well for all values of a
sensitive attribute. In other words, if the
desirable outcome for a model is the positive class,
the goal would be to have the true positive rate be the
same for all groups. Equality of opportunity is related to equalized odds,
which requires that both the true positive rates and
false positive rates are the same for all groups. Suppose Glubbdubdrib University admits both Lilliputians and Brobdingnagians
to a rigorous mathematics program. Lilliputians' secondary schools offer a
robust curriculum of math classes, and the vast majority of students are
qualified for the university program. Brobdingnagians' secondary schools don't
offer math classes at all, and as a result, far fewer of their students are
qualified. Equality of opportunity is satisfied for the preferred label of
""admitted"" with respect to nationality (Lilliputian or Brobdingnagian) if
qualified students are equally likely to be admitted irrespective of whether
they're a Lilliputian or a Brobdingnagian. For example, suppose 100 Lilliputians and 100 Brobdingnagians apply to
Glubbdubdrib University, and admissions decisions are made as follows: Table 1. Lilliputian applicants (90% are qualified) Table 2. Brobdingnagian applicants (10% are qualified): The preceding examples satisfy equality of opportunity for acceptance of
qualified students because qualified Lilliputians and Brobdingnagians both
have a 50% chance of being admitted. While equality of opportunity is satisfied, the following two fairness metrics
are not satisfied: demographic parity: Lilliputians and
 Brobdingnagians are admitted to the university at different rates;
 48% of Lilliputians students are admitted, but only 14% of
 Brobdingnagian students are admitted. equalized odds: While qualified Lilliputian
 and Brobdingnagian students both have the same chance of being admitted,
 the additional constraint that unqualified Lilliputians and
 Brobdingnagians both have the same chance of being rejected is not
 satisfied. Unqualified Lilliputians have a 70% rejection rate, whereas
 unqualified Brobdingnagians have a 90% rejection rate. See Fairness: Equality of
opportunity
in Machine Learning Crash Course for more information.",Fairness,"fairness metric, sensitive attribute, positive class, true positive rate, equalized odds, false positive rates, demographic parity, equalized odds, Fairness: Equality of
opportunity"
 equalized odds,"A fairness metric to assess whether a model is predicting outcomes equally
well for all values of a sensitive attribute with
respect to both the positive class and
negative class—not just one class or the other
exclusively. In other words, both the true positive rate
and false negative rate should be the same for
all groups. Equalized odds is related to
equality of opportunity, which only focuses
on error rates for a single class (positive or negative). For example, suppose Glubbdubdrib University admits both Lilliputians and
Brobdingnagians to a rigorous mathematics program. Lilliputians' secondary
schools offer a robust curriculum of math classes, and the vast majority of
students are qualified for the university program. Brobdingnagians' secondary
schools don't offer math classes at all, and as a result, far fewer of
their students are qualified. Equalized odds is satisfied provided that no
matter whether an applicant is a Lilliputian or a Brobdingnagian, if they
are qualified, they are equally as likely to get admitted to the program,
and if they are not qualified, they are equally as likely to get rejected. Suppose 100 Lilliputians and 100 Brobdingnagians apply to Glubbdubdrib
University, and admissions decisions are made as follows: Table 3. Lilliputian applicants (90% are qualified) Table 4. Brobdingnagian applicants (10% are qualified): Equalized odds is satisfied because qualified Lilliputian and Brobdingnagian
students both have a 50% chance of being admitted, and unqualified Lilliputian
and Brobdingnagian have an 80% chance of being rejected. Equalized odds is formally defined in
""Equality of
Opportunity in Supervised Learning"" as follows:
""predictor Ŷ satisfies equalized odds with respect
to protected attribute A and outcome Y if Ŷ and A are independent,
conditional on Y.""",Fairness,"sensitive attribute, positive class, negative class, true positive rate, false negative rate, equality of opportunity, ""Equality of
Opportunity in Supervised Learning"""
 Estimator,"A deprecated TensorFlow API. Use tf.keras instead
of Estimators.",TensorFlow,tf.keras
 evals,"Primarily used as an abbreviation for LLM evaluations.
More broadly, evals is an abbreviation for any form of
evaluation.",Language Evaluation,"LLM evaluations, evaluation"
 evaluation,"The process of measuring a model's quality or comparing different models
against each other. To evaluate a supervised machine learning
model, you typically judge it against a validation set
and a test set. Evaluating a LLM
typically involves broader quality and safety assessments.",Language Evaluation,"supervised machine learning, validation set, test set, Evaluating a LLM"
 example,"The values of one row of features and possibly
a label. Examples in
supervised learning fall into two
general categories: A labeled example consists of one or more features
and a label. Labeled examples are used during training. An unlabeled example consists of one or
more features but no label. Unlabeled examples are used during inference. For instance, suppose you are training a model to determine the influence
of weather conditions on student test scores. Here are three labeled examples: Here are three unlabeled examples: The row of a dataset is typically the raw source for an example.
That is, an example typically consists of a subset of the columns in
the dataset. Furthermore, the features in an example can also include
synthetic features, such as
feature crosses. See Supervised Learning in
the Introduction to Machine Learning course for more information.",ML Fundamentals,"features, label, supervised learning, labeled example, unlabeled example, dataset, synthetic features, feature crosses, Supervised Learning"
 experience replay,"In reinforcement learning, a DQN technique used to
reduce temporal correlations in training data. The agent
stores state transitions in a replay buffer, and then
samples transitions from the replay buffer to create training data.",Reinforcement Learning,"DQN, agent, replay buffer"
 experimenter's bias ,See confirmation bias.,Fairness,confirmation bias
 exploding gradient problem,"The tendency for gradients in
deep neural networks (especially
recurrent neural networks) to become
surprisingly steep (high). Steep gradients often cause very large updates
to the weights of each node in a
deep neural network. Models suffering from the exploding gradient problem become difficult
or impossible to train. Gradient clipping
can mitigate this problem. Compare to vanishing gradient problem.",Sequence Models,"gradients, deep neural networks, recurrent neural networks, weights, node, Gradient clipping, vanishing gradient problem"
 F1,"A ""roll-up"" binary classification metric that
relies on both precision and recall.
Here is the formula: For example, given the following: precision = 0.6 recall = 0.4 When precision and recall are fairly similar (as in the preceding example),
F1 is close to their mean. When precision and recall differ
significantly, F1 is closer to the lower value. For example: precision = 0.9 recall = 0.1",None,"binary classification, precision, recall"
 fairness constraint,"Post-processing your model's output. Altering the loss function to incorporate a penalty
 for violating a fairness metric. Directly adding a mathematical constraint to an optimization problem.",Fairness,"Post-processing, loss function, fairness metric"
 fairness metric,"A mathematical definition of ""fairness"" that is measurable.
Some commonly used fairness metrics include: equalized odds predictive parity counterfactual fairness demographic parity Many fairness metrics are mutually exclusive; see
incompatibility of fairness metrics.",Fairness,"equalized odds, predictive parity, counterfactual fairness, demographic parity, incompatibility of fairness metrics"
 false negative (FN),"An example in which the model mistakenly predicts the
negative class. For example, the model
predicts that a particular email message is not spam
(the negative class), but that email message actually is spam.",ML Fundamentals,negative class
 false negative rate,"The proportion of actual positive examples for which the model mistakenly
predicted the negative class. The following formula calculates the false
negative rate: See Thresholds and the confusion
matrix
in Machine Learning Crash Course for more information.",None,"Thresholds and the confusion
matrix"
 false positive (FP),"An example in which the model mistakenly predicts the
positive class. For example, the model predicts
that a particular email message is spam (the positive class), but that
email message is actually not spam. See Thresholds and the confusion
matrix
in Machine Learning Crash Course for more information.",ML Fundamentals,"positive class, Thresholds and the confusion
matrix"
 false positive rate (FPR),"The proportion of actual negative examples for which the model mistakenly
predicted the positive class. The following formula calculates the false
positive rate: The false positive rate is the x-axis in an ROC curve. See Classification: ROC and
AUC
in Machine Learning Crash Course for more information.",ML Fundamentals,"ROC curve, Classification: ROC and
AUC"
 feature,"An input variable to a machine learning model. An example
consists of one or more features. For instance, suppose you are training a
model to determine the influence of weather conditions on student test scores.
The following table shows three examples, each of which contains
three features and one label: Contrast with label. See Supervised Learning
in the Introduction to Machine Learning course for more information.",ML Fundamentals,"example, label, Supervised Learning"
 feature cross,"A synthetic feature formed by ""crossing""
categorical or bucketed features. For example, consider a ""mood forecasting"" model that represents
temperature in one of the following four buckets: freezing chilly temperate warm And represents wind speed in one of the following three buckets: still light windy Without feature crosses, the linear model trains independently on each of the
preceding seven various buckets. So, the model trains on, for example,
freezing independently of the training on, for example,
windy. Alternatively, you could create a feature cross of temperature and
wind speed. This synthetic feature would have the following 12 possible
values: freezing-still freezing-light freezing-windy chilly-still chilly-light chilly-windy temperate-still temperate-light temperate-windy warm-still warm-light warm-windy Thanks to feature crosses, the model can learn mood differences
between a freezing-windy day and a freezing-still day. If you create a synthetic feature from two features that each have a lot of
different buckets, the resulting feature cross will have a huge number
of possible combinations. For example, if one feature has 1,000 buckets and
the other feature has 2,000 buckets, the resulting feature cross has 2,000,000
buckets. Formally, a cross is a
Cartesian product. Feature crosses are mostly used with linear models and are rarely used
with neural networks. See Categorical data: Feature
crosses
in Machine Learning Crash Course for more information.",ML Fundamentals,"synthetic feature, categorical, bucketed, Cartesian product, Categorical data: Feature
crosses"
 feature engineering,"A process that involves the following steps: For example, you might determine that temperature might be a useful
feature. Then, you might experiment with bucketing
to optimize what the model can learn from different temperature ranges. Feature engineering is sometimes called
feature extraction or
featurization. See Numerical data: How a model ingests data using feature
vectors
in Machine Learning Crash Course for more information.",ML Fundamentals,"bucketing, feature extraction, featurization, Numerical data: How a model ingests data using feature
vectors"
 feature extraction,"Overloaded term having either of the following definitions: Retrieving intermediate feature representations calculated by an
unsupervised or pretrained model
(for example, hidden layer values in a
neural network) for use in another model as input. Synonym for feature engineering.",None,"unsupervised, hidden layer, neural network, feature engineering"
 feature importances ,Synonym for variable importances.,Decision Forests,variable importances
 feature set,"The group of features your machine learning
model trains on.
For example, postal code, property size, and property condition might
comprise a simple feature set for a model that predicts housing prices.",ML Fundamentals,"features, model"
 feature spec,"Describes the information required to extract features data
from the tf.Example protocol buffer. Because the
tf.Example protocol buffer is just a container for data, you must specify
the following: The data to extract (that is, the keys for the features) The data type (for example, float or int) The length (fixed or variable)",TensorFlow,"features, tf.Example"
 feature vector,"The array of feature values comprising an
example. The feature vector is input during
training and during inference.
For example, the feature vector for a model with two discrete features
might be: Each example supplies different values for the feature vector, so the
feature vector for the next example could be something like: Feature engineering determines how to represent
features in the feature vector. For example, a binary categorical feature with
five possible values might be represented with
one-hot encoding. In this case, the portion of the
feature vector for a particular example would consist of four zeroes and
a single 1.0 in the third position, as follows: As another example, suppose your model consists of three features: a binary categorical feature with five possible values represented with
one-hot encoding; for example: [0.0, 1.0, 0.0, 0.0, 0.0] another binary categorical feature with three possible values represented
with one-hot encoding; for example: [0.0, 0.0, 1.0] a floating-point feature; for example: 8.3. In this case, the feature vector for each example would be represented
by nine values. Given the example values in the preceding list, the
feature vector would be: See Numerical data: How a model ingests data using feature
vectors
in Machine Learning Crash Course for more information.",ML Fundamentals,"feature, example, training, inference, Feature engineering, one-hot encoding, Numerical data: How a model ingests data using feature
vectors"
 featurization,"The process of extracting features from an input source,
such as a document or video, and mapping those features into a
feature vector. Some ML experts use featurization as a synonym for
feature engineering or
feature extraction.",None,"features, feature vector, feature engineering, feature extraction"
 federated learning,"A distributed machine learning approach that trains
machine learning models using decentralized
examples residing on devices such as smartphones.
In federated learning, a subset of devices downloads the current model
from a central coordinating server. The devices use the examples stored
on the devices to make improvements to the model. The devices then upload
the model improvements (but not the training examples) to the coordinating
server, where they are aggregated with other updates to yield an improved
global model. After the aggregation, the model updates computed by devices
are no longer needed, and can be discarded. Since the training examples are never uploaded, federated learning follows the
privacy principles of focused data collection and data minimization. For more information about federated learning,
see this tutorial.",None,"trains, models, examples, this tutorial"
 feedback loop,"In machine learning, a situation in which a model's predictions influence the
training data for the same model or another model. For example, a model that
recommends movies will influence the movies that people see, which will then
influence subsequent movie recommendation models. See Production ML systems: Questions to
ask
in Machine Learning Crash Course for more information.",ML Fundamentals,"Production ML systems: Questions to
ask"
 feedforward neural network (FFN),"A neural network without cyclic or recursive connections. For example,
traditional deep neural networks are
feedforward neural networks. Contrast with recurrent neural
networks, which are cyclic.",None,"deep neural networks, recurrent neural
networks"
 few-shot learning,"A machine learning approach, often used for object classification,
designed to train effective classifiers from only a small number of
training examples. See also one-shot learning and
zero-shot learning.",None,"one-shot learning, zero-shot learning"
 few-shot prompting,"A prompt that contains more than one (a ""few"") example
demonstrating how the large language model
should respond. For example, the following lengthy prompt contains two
examples showing a large language model how to answer a query. Few-shot prompting generally produces more desirable results than
zero-shot prompting and
one-shot prompting. However, few-shot prompting
requires a lengthier prompt. Few-shot prompting is a form of few-shot learning
applied to prompt-based learning. See Prompt
engineering
in Machine Learning Crash Course for more information.",Language Evaluation,"prompt, large language model, zero-shot prompting, one-shot prompting, few-shot learning, prompt-based learning, Prompt
engineering"
